STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00023183,"PHOENIX AIRPORT, AZ US",1/1/2020,0,60,40
USW00023183,"PHOENIX AIRPORT, AZ US",1/2/2020,0,64,41
USW00023183,"PHOENIX AIRPORT, AZ US",1/3/2020,0,64,41
USW00023183,"PHOENIX AIRPORT, AZ US",1/4/2020,0,68,41
USW00023183,"PHOENIX AIRPORT, AZ US",1/5/2020,0,70,42
USW00023183,"PHOENIX AIRPORT, AZ US",1/6/2020,0,71,41
USW00023183,"PHOENIX AIRPORT, AZ US",1/7/2020,0,73,43
USW00023183,"PHOENIX AIRPORT, AZ US",1/8/2020,0,68,45
USW00023183,"PHOENIX AIRPORT, AZ US",1/9/2020,0,64,46
USW00023183,"PHOENIX AIRPORT, AZ US",1/10/2020,0,64,43
USW00023183,"PHOENIX AIRPORT, AZ US",1/11/2020,0,63,40
USW00023183,"PHOENIX AIRPORT, AZ US",1/12/2020,0,65,38
USW00023183,"PHOENIX AIRPORT, AZ US",1/13/2020,0,69,41
USW00023183,"PHOENIX AIRPORT, AZ US",1/14/2020,0,70,42
USW00023183,"PHOENIX AIRPORT, AZ US",1/15/2020,0,69,47
USW00023183,"PHOENIX AIRPORT, AZ US",1/16/2020,0,66,51
USW00023183,"PHOENIX AIRPORT, AZ US",1/17/2020,0,65,45
USW00023183,"PHOENIX AIRPORT, AZ US",1/18/2020,0,70,42
USW00023183,"PHOENIX AIRPORT, AZ US",1/19/2020,0,76,44
USW00023183,"PHOENIX AIRPORT, AZ US",1/20/2020,0,74,55
USW00023183,"PHOENIX AIRPORT, AZ US",1/21/2020,0.19,64,53
USW00023183,"PHOENIX AIRPORT, AZ US",1/22/2020,0,64,51
USW00023183,"PHOENIX AIRPORT, AZ US",1/23/2020,0,71,47
USW00023183,"PHOENIX AIRPORT, AZ US",1/24/2020,0,73,48
USW00023183,"PHOENIX AIRPORT, AZ US",1/25/2020,0,73,48
USW00023183,"PHOENIX AIRPORT, AZ US",1/26/2020,0,73,49
USW00023183,"PHOENIX AIRPORT, AZ US",1/27/2020,0,74,51
